title, author, rating, format, pages, publish_date
To Kill a Mockingbird,Harper Lee,4.27,Paperback,324,May 23rd 2006
Harry Potter and the Sorcerer's Stone (Harry Potter #1),J.K. Rowling,4.46,Hardcover,320,June 26th 1997
Pride and Prejudice,Jane Austen,4.25,Paperback,279,October 10th 2000
The Diary of a Young Girl,Anne Frank,4.12,Mass Market Paperback,304,July 1993
1984,George Orwell,4.17,Kindle Edition,237,September 3rd 2013
The Little Prince,Antoine de Saint-Exupéry,4.30,Paperback,93,June 29th 2000
The Great Gatsby,F. Scott Fitzgerald,3.91,Paperback,180,September 2004
The Catcher in the Rye,J.D. Salinger,3.80,Paperback,277,January 30th 2001
Animal Farm,George Orwell,3.91,Paperback,122,May 6th 2003
The Lord of the Rings (The Lord of the Rings #1-3),J.R.R. Tolkien,4.49,Paperback,1216,October 12th 2005
Jane Eyre,Charlotte Brontë,4.11,Paperback,507,February 4th 2003
The Book Thief,Markus Zusak,4.37,Hardcover,552,March 14th 2006
The Chronicles of Narnia (Chronicles of Narnia #1-7),C.S. Lewis,4.26,Paperback,767,September 16th 2002
Romeo and Juliet,William Shakespeare,3.74,Paperback,283,2002
Lord of the Flies,William Golding,3.66,Paperback,182,October 1st 1999
Harry Potter and the Deathly Hallows (Harry Potter #7),J.K. Rowling,4.63,Hardcover,759,July 21st 2007
The Kite Runner,Khaled Hosseini,4.28,Paperback,371,May 1st 2004
The Giving Tree,Shel Silverstein,4.37,Hardcover,64,October 7th 1964
The Giver,Lois Lowry,4.12,Paperback,208,January 24th 2006
Charlotte's Web,E.B. White,4.16,Paperback,184,October 1st 2001
Green Eggs and Ham,Dr. Seuss,4.30,Hardcover,62,1988
Little Women,Louisa May Alcott,4.06,Paperback,449,April 6th 2004
The Hobbit or There and Back Again,J.R.R. Tolkien,4.26,Paperback,366,August 15th 2002
Of Mice and Men,John Steinbeck,3.86,Paperback,112,January 8th 2002
The Hunger Games (The Hunger Games #1),Suzanne Collins,4.33,Hardcover,374,October 2008
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,4.07,Mass Market Paperback,239,December 1st 2000
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling,4.55,Mass Market Paperback,435,May 1st 2004
Wuthering Heights,Emily Brontë,3.84,Paperback,464,2002
Fahrenheit 451,Ray Bradbury,3.98,Mass Market Paperback,175,October 2004
Gone with the Wind,Margaret Mitchell,4.29,Paperback,1037,April 1st 1999
Night (The Night Trilogy #1),Elie Wiesel,4.32,Paperback,120,January 16th 2006
The Picture of Dorian Gray,Oscar Wilde,4.07,Paperback,367,June 1st 2004
Harry Potter and the Goblet of Fire (Harry Potter #4),J.K. Rowling,4.55,Paperback,734,September 28th 2002
Holy Bible: King James Version,Anonymous,4.42,Hardcover,1590,January 15th 2008
Tolkien on Fairy-stories,J.R.R. Tolkien,4.31,Hardcover,128,July 1st 2008
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Douglas Adams,4.22,Paperback,193,June 23rd 1997
The Adventures of Huckleberry Finn,Mark Twain,3.81,Paperback,327,December 31st 2002
Hamlet,William Shakespeare,4.01,Paperback,289,August 1st 2005
Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,4.56,Paperback,652,September 16th 2006
Les Misérables,Victor Hugo,4.16,Mass Market Paperback,1463,March 3rd 1987
Brave New World / Brave New World Revisited,Aldous Huxley,4.17,Paperback,340,July 5th 2005
The Alchemist,Paulo Coelho,3.85,Paperback,197,May 1st 1993
Crime and Punishment,Fyodor Dostoyevsky,4.20,Paperback,671,December 31st 2002
Memoirs of a Geisha,Arthur Golden,4.10,Mass Market Paperback,503,November 22nd 2005
The Secret Garden,Frances Hodgson Burnett,4.13,Hardcover,331,September 1st 1998
The Help,Kathryn Stockett,4.46,Hardcover,465,February 10th 2009
The Lion the Witch and the Wardrobe (Chronicles of Narnia #1),C.S. Lewis,4.21,Paperback,206,2005
The Cat in the Hat,Dr. Seuss,4.16,Hardcover,61,1985
The Odyssey,Homer,3.75,Paperback,541,November 30th 2006
A Christmas Carol,Charles Dickens,4.04,Paperback,104,September 23rd 1999
1984,George Orwell,4.17,Mass Market Paperback,326,July 1st 1950
