name,author,rating,format,year
Asterix the Gaul (Asterix #1),René Goscinny,4.2,Paperback,2004
Unscrupulous (The Manhattanites #1),Avery Aster,3.8,ebook,2013
The Andromeda Strain (Andromeda #1),Michael Crichton,3.9,Paperback,2003
Divergent (Divergent #1),Veronica Roth,4.3,Paperback,2012
The Bone People,Keri Hulme,4.1,Paperback,1986
The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts,Douglas Adams,4.6,Paperback,1992
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.1,Hardcover,2013
Second Foundation (Foundation #3),Isaac Asimov,4.3,Hardcover,2004
Death of a Salesman,Arthur  Miller,3.5,Hardcover,1994
The Red and the Black,Stendhal,3.9,Paperback,2002
The Complete Persepolis,Marjane Satrapi,4.4,Paperback,2007
Alexander and the Terrible Horrible No Good Very Bad Day,Judith Viorst,4.3,Paperback,1987
Poetics,Aristotle,3.9,Paperback,1996
The Magician's Nephew (Chronicles of Narnia #6),C.S. Lewis,4.1,Paperback,2005
Life As We Knew It (Last Survivors #1),Susan Beth Pfeffer,3.9,Paperback,2006
Beautiful Chaos (Caster Chronicles #3),Kami Garcia,4,Hardcover,2011
Intensity,Dean Koontz,4.1,Paperback,2000
China Blues,Ki Longfellow,4.1,Paperback,2012
Her Beauty,M.R. Desmond,0,Kindle Edition,2018
Eats Shoots & Leaves: The Zero Tolerance Approach to Punctuation,Lynne Truss,3.9,Paperback,2006
Warrior of the Light,Paulo Coelho,3.7,Paperback,2004
The Bourne Identity (Jason Bourne #1),Robert Ludlum,4,Paperback,2005
Glue,Irvine Welsh,3.9,Paperback,2002
Tropic of Capricorn,Henry Miller,3.9,Paperback,1994
Rising Sun,Michael Crichton,3.7,Hardcover,2004
Jesus the Christ,James E. Talmage,4.7,Hardcover,2001
Outsourced World - Seducing Goddess Durga During the Clinton Era,GRWilson,4.2,ebook,2017
Boundless (Unearthly #3),Cynthia Hand,4.2,Hardcover,2013
My Beloved,T.M. Mendes,3.9,Kindle Edition,2014
The Sailor Who Fell from Grace with the Sea,Yukio Mishima,3.9,Paperback,1994
Bleak House,Charles Dickens,4.1,Paperback,2006
The Color of Water: A Black Man's Tribute to His White Mother,James McBride,4.1,Paperback,2004
The Fellowship of the Ring (The Lord of the Rings #1),J.R.R. Tolkien,4.4,Paperback,2003
Mrs. Dalloway,Virginia Woolf,3.8,Hardcover,2002
The Long Walk,Richard Bachman,4.2,Paperback,1999
Interpreter of Maladies,Jhumpa Lahiri,4.2,Paperback,2000
The Complete Novels,Jane Austen,4.6,Paperback,1996
The Plot Against America,Philip Roth,3.8,Paperback,2005
The Bloodstained Bride: A gripping mystery with suspense and romance (A Palmchat Islands Mystery Book 4),Rachel Woods,4.2,Kindle,2019
Diary of a Freedom Writer: The Experience,Darrius Garrett,4.3,Paperback,2013
4 3 2 1,Paul Auster,3.9,Hardcover,2017
Look Me in the Eye: My Life with Asperger's,John Elder Robison,4,Hardcover,2007
A Love Story How God Pursued Me and Found Me: An Impossibly True Story,Samantha Ryan Chandler,4.2,Paperback,2015
The 101 Dalmatians (The Hundred and One Dalmatians #1),Dodie Smith,4.2,Hardcover,1996
