A_id,B_id
1013,2614
1025,2442
1028,844
1031,767
1073,606
1091,1900
1091,84
1094,291
1103,647
1112,2066
1115,58
1142,38
1160,2606
1163,1778
1175,2117
1193,2606
1196,38
1196,1900
1211,889
1211,1792
1211,2535
1214,2129
1244,2604
125,2493
1253,1792
1253,923
1253,2535
1253,2129
1256,1900
1259,2708
1277,1900
1298,767
134,2196
1340,1550
1367,256
1388,2319
1394,2793
1400,788
1415,1792
1418,586
1424,2089
1430,2535
1430,1792
1475,1021
1478,908
1508,1900
1520,923
1538,1550
1541,2535
1541,1792
1559,1274
1589,1207
1598,2535
1613,1089
1616,1419
1631,2691
164,2708
1658,1792
1658,2496
1658,2535
1673,1792
1709,2840
1718,1792
1718,2535
1724,1566
1724,2535
1730,672
1745,2449
1745,2535
1745,2847
1745,1792
1748,2847
1751,2761
1751,2658
1751,989
1751,746
1751,878
1751,778
1772,1419
1778,1840
1796,2535
1796,1792
1808,61
1808,1842
182,2424
182,1757
182,312
182,1509
182,520
185,1792
1886,2020
1895,2426
1895,1515
1895,1723
1937,1510
1943,677
1964,1207
1973,2973
1976,1792
1976,2535
1979,1900
1985,2772
1997,1021
1997,2078
2000,1725
2000,2535
2006,1290
2009,2462
2030,1978
2051,2535
2051,2847
2072,2404
2084,926
2087,1277
2087,787
2090,2535
2114,1484
2123,1105
2138,1909
2147,2679
2162,84
2162,38
2165,1591
2165,1350
2177,697
221,650
221,1725
2213,2117
2213,1501
2216,2213
2219,2170
2219,545
2231,1745
2240,1792
2252,2461
2252,1347
2261,2442
2270,697
2297,923
2297,58
230,1668
2324,1900
2324,38
2324,84
2339,1553
2360,456
2369,2369
2375,1976
2375,2284
2375,2470
239,586
2390,1900
2402,923
2417,1505
2417,1615
2417,659
2417,2165
2417,2469
2423,2847
2429,2535
2441,1570
2441,1792
2441,2535
245,2793
2450,2565
2450,2658
2450,2940
2450,353
2450,9
2450,1018
2450,1459
2474,1725
248,541
2480,2708
2495,1725
2498,2535
2498,256
2501,154
2504,2964
2507,1550
2522,923
2525,1832
2525,1725
2534,2526
2546,2496
2558,2973
2558,697
2564,1792
2564,2535
2576,2847
2594,801
2615,353
2615,241
2621,2847
263,2039
2630,2417
2633,788
2633,921
2663,1306
2672,1089
2675,1401
2681,2170
2684,2129
2690,1196
2690,2535
2708,1222
2708,42
2711,2847
272,142
272,2532
2726,1809
2729,1395
2735,1550
2735,1792
2738,1734
2762,84
2768,216
2795,2535
2804,2535
2804,889
2804,1758
2807,2874
2816,616
2816,1792
2816,2535
2816,2606
2816,2279
2819,1725
2837,1060
2846,923
2846,2806
2858,2535
2861,1351
2867,1668
2867,2535
2891,2129
2891,1725
2921,1849
293,1550
2930,2632
2930,2239
296,216
302,2377
3029,2058
3032,1591
3032,2847
3047,2539
305,1345
314,2806
314,1792
344,194
35,2404
350,1501
350,2117
395,1501
395,2117
419,2934
425,2280
44,84
455,697
455,2973
464,1725
47,1734
473,2535
479,595
494,1900
503,463
509,1020
512,2404
518,1401
518,421
530,549
530,885
530,588
545,1792
545,938
572,1550
584,2241
584,2901
590,1245
593,1832
599,2319
623,1591
626,1827
632,988
638,2375
650,1419
653,1900
653,697
665,2036
677,774
680,844
698,805
698,1519
698,1063
710,988
713,2527
728,1792
728,2535
731,2722
731,2687
767,147
776,2219
782,1528
800,2040
824,1900
827,724
842,2554
848,923
875,1501
875,2117
878,1792
893,2404
917,889
