Tokens_filename_"n-gram_count"_"start_ind"_"end_ind"_"pre_string"_"pos_string"_"output_classes"
BEIJING_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_0_0_[]_['An', 'activist', 'who', 'has', 'spent']_0
An_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_1_1_['BEIJING']_['activist', 'who', 'has', 'spent', 'the']_0
activist_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_2_2_['BEIJING', 'An']_['who', 'has', 'spent', 'the', 'last']_0
who_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_3_3_['BEIJING', 'An', 'activist']_['has', 'spent', 'the', 'last', 'several']_0
has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_4_4_['BEIJING', 'An', 'activist', 'who']_['spent', 'the', 'last', 'several', 'years']_0
spent_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_5_5_['BEIJING', 'An', 'activist', 'who', 'has']_['the', 'last', 'several', 'years', 'documenting']_0
the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_6_6_['An', 'activist', 'who', 'has', 'spent']_['last', 'several', 'years', 'documenting', 'labor']_0
last_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_7_7_['activist', 'who', 'has', 'spent', 'the']_['several', 'years', 'documenting', 'labor', 'protests']_0
several_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_8_8_['who', 'has', 'spent', 'the', 'last']_['years', 'documenting', 'labor', 'protests', 'across']_0
years_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_9_9_['has', 'spent', 'the', 'last', 'several']_['documenting', 'labor', 'protests', 'across', 'China']_0
documenting_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_10_10_['spent', 'the', 'last', 'several', 'years']_['labor', 'protests', 'across', 'China', 'has']_0
labor_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_11_11_['the', 'last', 'several', 'years', 'documenting']_['protests', 'across', 'China', 'has', 'been']_0
protests_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_12_12_['last', 'several', 'years', 'documenting', 'labor']_['across', 'China', 'has', 'been', 'detained']_0
across_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_13_13_['several', 'years', 'documenting', 'labor', 'protests']_['China', 'has', 'been', 'detained', 'by']_0
China_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_14_14_['years', 'documenting', 'labor', 'protests', 'across']_['has', 'been', 'detained', 'by', 'the']_0
has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_15_15_['documenting', 'labor', 'protests', 'across', 'China']_['been', 'detained', 'by', 'the', 'authorities']_0
been_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_16_16_['labor', 'protests', 'across', 'China', 'has']_['detained', 'by', 'the', 'authorities', 'since']_0
detained_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_17_17_['protests', 'across', 'China', 'has', 'been']_['by', 'the', 'authorities', 'since', 'midJune']_0
by_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_18_18_['across', 'China', 'has', 'been', 'detained']_['the', 'authorities', 'since', 'midJune', 'friends']_0
the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_19_19_['China', 'has', 'been', 'detained', 'by']_['authorities', 'since', 'midJune', 'friends', 'of']_0
authorities_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_20_20_['has', 'been', 'detained', 'by', 'the']_['since', 'midJune', 'friends', 'of', 'his']_0
since_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_21_21_['been', 'detained', 'by', 'the', 'authorities']_['midJune', 'friends', 'of', 'his', 'said']_0
midJune_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_22_22_['detained', 'by', 'the', 'authorities', 'since']_['friends', 'of', 'his', 'said', 'on']_0
friends_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_23_23_['by', 'the', 'authorities', 'since', 'midJune']_['of', 'his', 'said', 'on', 'Monday']_0
of_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_24_24_['the', 'authorities', 'since', 'midJune', 'friends']_['his', 'said', 'on', 'Monday']_0
his_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_25_25_['authorities', 'since', 'midJune', 'friends', 'of']_['said', 'on', 'Monday']_0
said_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_26_26_['since', 'midJune', 'friends', 'of', 'his']_['on', 'Monday']_0
on_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_27_27_['midJune', 'friends', 'of', 'his', 'said']_['Monday']_0
Monday_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_28_28_['friends', 'of', 'his', 'said', 'on']_[]_0
BEIJING An_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_0_1_[]_['activist', 'who', 'has', 'spent', 'the']_0
An activist_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_1_2_['BEIJING']_['who', 'has', 'spent', 'the', 'last']_0
activist who_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_2_3_['BEIJING', 'An']_['has', 'spent', 'the', 'last', 'several']_0
who has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_3_4_['BEIJING', 'An', 'activist']_['spent', 'the', 'last', 'several', 'years']_0
has spent_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_4_5_['BEIJING', 'An', 'activist', 'who']_['the', 'last', 'several', 'years', 'documenting']_0
spent the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_5_6_['BEIJING', 'An', 'activist', 'who', 'has']_['last', 'several', 'years', 'documenting', 'labor']_0
the last_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_6_7_['An', 'activist', 'who', 'has', 'spent']_['several', 'years', 'documenting', 'labor', 'protests']_0
last several_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_7_8_['activist', 'who', 'has', 'spent', 'the']_['years', 'documenting', 'labor', 'protests', 'across']_0
